Chart Week,Position,Artist,Title,Weeks on Chart,Peak Position,Last Position
2021-12-11,1,Adele,Easy On Me,8,1,1
2021-12-11,2,The Kid LAROI & Justin Bieber,Stay,21,1,2
2021-12-11,3,Mariah Carey,All I Want For Christmas Is You,47,1,12
2021-12-11,4,Brenda Lee,Rockin' Around The Christmas Tree,41,2,14
2021-12-11,5,Bobby Helms,Jingle Bell Rock,38,3,20
2021-12-11,6,Lil Nas X & Jack Harlow,Industry Baby,19,1,3
2021-12-11,7,Burl Ives,A Holly Jolly Christmas,22,4,27
2021-12-11,8,Glass Animals,Heat Waves,46,7,7
2021-12-11,9,Ed Sheeran,Shivers,12,5,6
2021-12-11,10,Doja Cat,Need To Know,25,8,9
2021-12-11,11,Andy Williams,It's The Most Wonderful Time Of The Year,23,5,30
2021-12-11,12,Ed Sheeran,Bad Habits,23,2,8
2021-12-11,13,Elton John & Dua Lipa,Cold Heart (PNAU Remix),13,11,11
2021-12-11,14,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,4,5,10
2021-12-11,15,Wham!,Last Christmas,21,9,40
2021-12-11,16,Jose Feliciano,Feliz Navidad,16,6,NULL
2021-12-11,17,Darlene Love,Christmas (Baby Please Come Home),8,17,NULL
2021-12-11,18,Nat King Cole,The Christmas Song (Merry Christmas To You),28,11,NULL
2021-12-11,19,The Ronettes,Sleigh Ride,12,13,NULL
2021-12-11,20,Michael Buble,It's Beginning To Look A Lot Like Christmas,6,20,NULL
2021-12-11,21,Taylor Swift,All Too Well (Taylor's Version),3,1,4
2021-12-11,22,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",15,8,NULL
2021-12-11,23,Walker Hayes,Fancy Like,24,3,13
2021-12-11,24,GAYLE,abcdefu,2,24,51
2021-12-11,25,Bing Crosby,White Christmas,21,12,NULL
2021-12-11,26,Olivia Rodrigo,Good 4 U,29,1,15
2021-12-11,27,Kelly Clarkson,Underneath The Tree,11,12,NULL
