Chart Week,Position,Artist,Title,Streams
2021-12-02,1,Adele,Easy On Me,7984911
2021-12-02,2,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),7752149
2021-12-02,3,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),6842709
2021-12-02,4,The Kid LAROI,STAY (with Justin Bieber),6153223
2021-12-02,5,Glass Animals,Heat Waves,6060077
2021-12-02,6,Mariah Carey,All I Want for Christmas Is You,5939362
2021-12-02,7,Brenda Lee,Rockin' Around The Christmas Tree,5930242
2021-12-02,8,"Bing Crosby, Ken DarSingers, John Scott Trotter & His Orchestra",White Christmas,5731465
2021-12-02,9,BobHelms,Jingle Bell Rock,5690290
2021-12-02,10,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,5610573
2021-12-02,11,GAYLE,abcdefu,5550508
2021-12-02,12,Andy Williams,It's the Most Wonderful Time of the Year,5070980
2021-12-02,13,Drake,Knife Talk (with 21 Savage ft. Project Pat),4827914
2021-12-02,14,Adele,Oh My God,4754941
2021-12-02,15,Doja Cat,Need to Know,4432113
2021-12-02,16,Olivia Rodrigo,good 4 u,4353909
2021-12-02,17,Drake,Way 2 Sexy (with Future & Young Thug),4211114
2021-12-02,18,Nat King Cole,The Christmas Song (Merry Christmas To You),4183387
2021-12-02,19,Michael Bublé,It's Beginning to Look a Lot like Christmas,4126114
2021-12-02,20,BaKeem,family ties (with Kendrick Lamar),4099682
2021-12-02,21,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),4056082
2021-12-02,22,Doja Cat,Kiss Me More (feat. SZA),3996971
2021-12-02,23,Wham!,Last Christmas,3885166
2021-12-02,24,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,3806826
2021-12-02,25,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,3748195
2021-12-02,26,José Feliciano,Feliz Navidad,3675324
2021-12-02,27,"Elton John, Dua Lipa",Cold Heart - PNAU Remix,3667232
2021-12-02,28,Ed Sheeran,Shivers,3640246
2021-12-02,29,The Ronettes,Sleigh Ride,3574051
2021-12-02,30,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),3554250
2021-12-02,31,Post Malone,One Right Now (with The Weeknd),3502184
2021-12-02,32,Doja Cat,Woman,3486644
2021-12-02,33,Steve Lacy,Dark Red,3346918
2021-12-02,34,Ariana Grande,Santa Tell Me,3280027
2021-12-02,35,Burl Ives,A Holly Jolly Christmas - Single Version,3254452
2021-12-02,36,Juice WRLD,Already Dead,3211477
2021-12-02,37,Billie Eilish,Happier Than Ever,3189745
2021-12-02,38,Adele,Can I Get It,3183574
2021-12-02,39,Adele,My Little Love,3138119
2021-12-02,40,Lil Nas X,MONTERO (Call Me By Your Name),3134966
2021-12-02,41,Playboi Carti,Sky,3093604
2021-12-02,42,Olivia Rodrigo,traitor,3089540
2021-12-02,43,"Perry Como, The Fontane Sisters",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),3059036
2021-12-02,44,Ed Sheeran,Bad Habits,3056025
2021-12-02,45,Sleepy Hallow,2055,3034417
2021-12-02,46,The Neighbourhood,Sweater Weather,3005928
2021-12-02,47,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",2952383
2021-12-02,48,Lil Nas X,THATS WHAT I WANT,2892609
2021-12-02,49,Polo G,RAPSTAR,2872885
2021-12-02,50,Kelly Clarkson,Underneath the Tree,2846967
2021-12-02,51,The Walters,I Love You So,2829031
2021-12-02,52,Darlene Love,Christmas (Baby Please Come Home),2803516
2021-12-02,53,Justin Bieber,Mistletoe,2795934
2021-12-02,54,Adele,I Drink Wine,2791848
2021-12-02,55,Polo G,Bad Man (Smooth Criminal),2732720
2021-12-02,56,Taylor Swift,Enchanted,2699197
2021-12-02,57,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,2695097
2021-12-02,58,"Doja Cat, The Weeknd",You Right,2685691
2021-12-02,59,Kanye West,Praise God,2664810
2021-12-02,60,Michael Bublé,Holly Jolly Christmas,2657000
2021-12-02,61,Elvis Presley,Blue Christmas,2644455
2021-12-02,62,Farruko,Pepas,2624109
2021-12-02,63,"Eslabon Armado, DannyLux",Jugaste y Sufrí,2615068
2021-12-02,64,Dua Lipa,Levitating (feat. DaBaby),2586845
2021-12-02,65,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,2577061
2021-12-02,66,Olivia Rodrigo,drivers license,2570216
2021-12-02,67,Doja Cat,Get Into It (Yuh),2567196
2021-12-02,68,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2546069
2021-12-02,69,Chuck Berry,Run Rudolph Run - Single Version,2541294
2021-12-02,70,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2520550
2021-12-02,71,Justin Bieber,Ghost,2515029
