Chart Week,Position,Artist,Title,Weeks on Chart,Peak Position,Last Position
2021-09-25,1,The Kid LAROI & Justin Bieber,Stay,10,1,6
2021-09-25,2,Drake Featuring Future & Young Thug,Way 2 Sexy,2,1,1
2021-09-25,3,Ed Sheeran,Bad Habits,12,2,13
2021-09-25,4,Drake Featuring 21 Savage & Project Pat,Knife Talk,2,4,5
2021-09-25,5,Walker Hayes,Fancy Like,13,5,21
2021-09-25,6,Lil Nas X & Jack Harlow,Industry Baby,8,2,20
2021-09-25,7,Olivia Rodrigo,Good 4 U,18,1,15
2021-09-25,8,Doja Cat Featuring SZA,Kiss Me More,23,3,19
2021-09-25,9,Dua Lipa,Levitating,50,2,23
2021-09-25,10,Drake Featuring Lil Baby,Girls Want Girls,2,2,2
2021-09-25,11,Drake Featuring Travis Scott,Fair Trade,2,3,3
2021-09-25,12,The Weeknd & Ariana Grande,Save Your Tears,40,1,28
2021-09-25,13,Lil Nas X,Montero (Call Me By Your Name),25,1,30
2021-09-25,14,BTS,Butter,17,1,17
2021-09-25,15,Glass Animals,Heat Waves,35,15,33
2021-09-25,16,Ed Sheeran,Shivers,1,16,NULL
2021-09-25,17,Wizkid Featuring Justin Bieber & Tems,Essence,11,13,34
2021-09-25,18,Doja Cat & The Weeknd,You Right,12,11,36
2021-09-25,19,Drake,Champagne Poetry,2,4,4
2021-09-25,20,Olivia Rodrigo,Deja Vu,24,3,31
2021-09-25,21,Doja Cat,Need To Know,14,14,38
2021-09-25,22,Drake,No Friends In The Industry,2,11,11
2021-09-25,23,The Weeknd,Take My Breath,6,6,37
2021-09-25,24,Jason Aldean & Carrie Underwood,If I Didn't Love You,8,15,43
2021-09-25,25,Baby Keem & Kendrick Lamar,Family Ties,3,18,44
2021-09-25,26,Kanye West,Hurricane,3,6,29
2021-09-25,27,Drake,TSU,2,9,9
2021-09-25,28,Chloe,Have Mercy,1,28,NULL
2021-09-25,29,Drake Featuring Lil Durk & Giveon,In The Bible,2,7,7
2021-09-25,30,Maneskin,Beggin',12,29,39
2021-09-25,31,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,28,1,46
2021-09-25,32,Marshmello X Jonas Brothers,Leave Before You Love Me,17,19,40
2021-09-25,33,Drake Featuring Future,N 2 Deep,2,12,12
2021-09-25,34,Farruko,Pepas,8,26,45
2021-09-25,35,Drake Featuring JAY-Z,Love All,2,10,10
2021-09-25,36,Billie Eilish,Happier Than Ever,7,11,42
2021-09-25,37,Olivia Rodrigo,Traitor,17,9,49
2021-09-25,38,Lainey Wilson,Things A Man Oughta Know,18,32,51
2021-09-25,39,Ryan Hurd With Maren Morris,Chasing After You,20,34,53
2021-09-25,40,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,26,1,47
2021-09-25,41,Drake,Papi's Home,2,8,8
2021-09-25,42,Duncan Laurence,Arcade,23,30,54
2021-09-25,43,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name,11,43,56
2021-09-25,44,Lizzo Featuring Cardi B,Rumors,5,4,55
2021-09-25,45,Drake,Pipe Down,2,14,14
2021-09-25,46,Tai Verdes,A-O-K,11,46,60
2021-09-25,47,Thomas Rhett,Country Again,20,42,52
