Chart Week,Position,Artist,Title,Streams
2021-09-23,1,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),13890659
2021-09-23,2,Drake,Way 2 Sexy (with Future & Young Thug),10897624
2021-09-23,3,The Kid LAROI,STAY (with Justin Bieber),10613177
2021-09-23,4,Lil Nas X,THATS WHAT I WANT,10150153
2021-09-23,5,Drake,Knife Talk (with 21 Savage ft. Project Pat),9492188
2021-09-23,6,Glass Animals,Heat Waves,8027511
2021-09-23,7,Lil Nas X,MONTERO (Call Me By Your Name),7803910
2021-09-23,8,Drake,Fair Trade (with Travis Scott),7545112
2021-09-23,9,Olivia Rodrigo,good 4 u,6316088
2021-09-23,10,BaKeem,family ties (with Kendrick Lamar),6112549
2021-09-23,11,Doja Cat,Need To Know,6072113
2021-09-23,12,Drake,Girls Want Girls (with Lil Baby),5871287
2021-09-23,13,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,5638039
2021-09-23,14,Doja Cat,Kiss Me More (feat. SZA),5559616
2021-09-23,15,Kanye West,Hurricane,5548479
2021-09-23,16,Lil Nas X,SCOOP (feat. Doja Cat),5525116
2021-09-23,17,Doja Cat,Woman,5386124
2021-09-23,18,Lil Nas X,DOLLA SIGN SLIME (feat. Megan Thee Stallion),5075210
2021-09-23,19,Sleepy Hallow,2055,5021587
2021-09-23,20,Taylor Swift,Wildest Dreams (Taylor's Version),4875225
2021-09-23,21,Ed Sheeran,Shivers,4854425
2021-09-23,22,Billie Eilish,Happier Than Ever,4618191
2021-09-23,23,Ed Sheeran,Bad Habits,4477012
2021-09-23,24,Lil Nas X,DEAD RIGHT NOW,4438818
2021-09-23,25,Drake,Champagne Poetry,4400834
2021-09-23,26,Kanye West,Moon,4285666
2021-09-23,27,Farruko,Pepas,4245201
2021-09-23,28,Olivia Rodrigo,traitor,4092030
2021-09-23,29,Lil Nas X,TALES OF DOMINICA,3972210
2021-09-23,30,Måneskin,Beggin',3910613
2021-09-23,31,Lil Nas X,SUN GOES DOWN,3907378
2021-09-23,32,Lil Nas X,LOST IN THE CITADEL,3848998
2021-09-23,33,Dua Lipa,Levitating (feat. DaBaby),3841670
2021-09-23,34,Lil Nas X,ONE OF ME (feat. Elton John),3834647
2021-09-23,35,Doja Cat,Get Into It (Yuh),3794632
2021-09-23,36,Drake,No Friends In The Industry,3781893
2021-09-23,37,Steve Lacy,Dark Red,3770178
2021-09-23,38,Walker Hayes,Fancy Like,3480714
2021-09-23,39,Polo G,RAPSTAR,3448064
2021-09-23,40,Kanye West,Off The Grid,3447024
2021-09-23,41,Lil Nas X,AM I DREAMING (feat. Miley Cyrus),3385403
2021-09-23,42,Lil Nas X,DONT WANT IT,3319393
2021-09-23,43,Olivia Rodrigo,deja vu,3254236
2021-09-23,44,Doja Cat,Ain't Shit,3184608
2021-09-23,45,Drake,Wants and Needs (feat. Lil Baby),3165332
2021-09-23,46,Drake,TSU,3145983
2021-09-23,47,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),3066604
2021-09-23,48,Surf Curse,Freaks,3008104
2021-09-23,49,The Neighbourhood,Sweater Weather,2978344
2021-09-23,50,Chlöe,Have Mercy,2945117
2021-09-23,51,Lil Nas X,VOID,2928489
2021-09-23,52,DaBaby,Lonely (with Lil Wayne),2866055
2021-09-23,53,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),2864963
2021-09-23,54,"Eslabon Armado, DannyLux",Jugaste y Sufrí,2856987
2021-09-23,55,Olivia Rodrigo,drivers license,2742002
2021-09-23,56,Lil Nas X,LIFE AFTER SALEM,2694516
2021-09-23,57,Drake,In The Bible (with Lil Durk & Giveon),2650393
2021-09-23,58,"Drake, Future",N 2 Deep,2627479
2021-09-23,59,Tai Verdes,A-O-K,2627149
2021-09-23,60,Drake,Papi’s Home,2588082
2021-09-23,61,J. Cole,No Role Modelz,2587202
2021-09-23,62,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),2583434
2021-09-23,63,The Weeknd,Blinding Lights,2543767
2021-09-23,64,Oliver Tree,Life Goes On,2536057
2021-09-23,65,Bad Bunny,Yonaguni,2459789
2021-09-23,66,The Weeknd,Take My Breath,2455323
2021-09-23,67,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",2426381
2021-09-23,68,Megan Thee Stallion,Thot Shit,2425700
2021-09-23,69,Trippie Redd,Miss The Rage (feat. Playboi Carti),2417519
2021-09-23,70,BaKeem,range brothers (with Kendrick Lamar),2414223
2021-09-23,71,Olivia Rodrigo,favorite crime,2404843
2021-09-23,72,Drake,Love All (with JAY-Z),2390973
2021-09-23,73,"Earth, Wind & Fire",September,2339439
2021-09-23,74,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,2322431
2021-09-23,75,"Doja Cat, The Weeknd",You Right,2321553
2021-09-23,76,Drake,Pipe Down,2297285
2021-09-23,77,"Cochise, $NOT",Tell Em,2290280
2021-09-23,78,Machine Gun Kelly,my ex's best friend (with blackbear),2264829
2021-09-23,79,iann dior,V12 (feat. Lil Uzi Vert),2259237
2021-09-23,80,"Elton John, Dua Lipa",Cold Heart - PNAU Remix,2247245
2021-09-23,81,A-Wall,Loverboy,2241965
2021-09-23,82,Lil Tecca,REPEAT IT (with Gunna),2233681
2021-09-23,83,PinkPantheress,Pain,2231134
2021-09-23,84,Drake,IMY2 (with Kid Cudi),2222869
2021-09-23,85,Lizzo,Rumors (feat. Cardi B),2219716
2021-09-23,86,Marshmello,Leave Before You Love Me (with Jonas Brothers),2217652
2021-09-23,87,Giveon,Heartbreak Anniversary,2208063
2021-09-23,88,WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,2204477
2021-09-23,89,Olivia Rodrigo,brutal,2195081
2021-09-23,90,Olivia Rodrigo,"jealousy, jealousy",2189481
2021-09-23,91,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2186258
2021-09-23,92,Post Malone,Circles,2183939
2021-09-23,93,Kanye West,Jail,2169770
2021-09-23,94,"Aventura, Bad Bunny",Volví,2153550
2021-09-23,95,Yot Club,YKWIM?,2141551
2021-09-23,96,24kGoldn,Mood (feat. iann dior),2134824
2021-09-23,97,SZA,Good Days,2125111
2021-09-23,98,Mac Miller,The Spins,2122700
2021-09-23,99,Post Malone,Motley Crew,2122049
2021-09-23,100,Trippie Redd,Rich MF (feat. Polo G & Lil Durk),2116676
2021-09-23,101,J. Cole,She Knows (feat. Amber Coffman & Cults),2114648
2021-09-23,102,Olivia Rodrigo,happier,2099362
2021-09-23,103,Polo G,Martin & Gina,2089718
