Chart Week,Position,Artist,Title,Weeks on Chart,Peak Position,Last Position
2021-10-23,1,Lil Nas X & Jack Harlow,Industry Baby,12,1,2
2021-10-23,2,The Kid LAROI & Justin Bieber,Stay,14,1,1
2021-10-23,3,Walker Hayes,Fancy Like,17,3,3
2021-10-23,4,Ed Sheeran,Bad Habits,16,2,5
2021-10-23,5,Drake Featuring Future & Young Thug,Way 2 Sexy,6,1,4
2021-10-23,6,Olivia Rodrigo,Good 4 U,22,1,6
2021-10-23,7,Doja Cat Featuring SZA,Kiss Me More,27,3,7
2021-10-23,8,Dua Lipa,Levitating,54,2,8
2021-10-23,9,Wizkid Featuring Justin Bieber & Tems,Essence,15,9,10
2021-10-23,10,Ed Sheeran,Shivers,5,10,11
2021-10-23,11,Doja Cat,Need To Know,18,11,13
2021-10-23,12,Glass Animals,Heat Waves,39,12,15
2021-10-23,13,The Weeknd & Ariana Grande,Save Your Tears,44,1,14
2021-10-23,14,Drake Featuring 21 Savage & Project Pat,Knife Talk,6,4,9
2021-10-23,15,Maneskin,Beggin',16,15,16
2021-10-23,16,Doja Cat & The Weeknd,You Right,16,11,18
2021-10-23,17,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??,1,17,NULL
2021-10-23,18,Coldplay x BTS,My Universe,3,1,12
2021-10-23,19,Jason Aldean & Carrie Underwood,If I Didn't Love You,12,15,19
2021-10-23,20,Lil Nas X,Montero (Call Me By Your Name),29,1,17
2021-10-23,21,Olivia Rodrigo,Traitor,21,9,21
2021-10-23,22,Drake Featuring Lil Baby,Girls Want Girls,6,2,20
2021-10-23,23,Ryan Hurd With Maren Morris,Chasing After You,24,23,24
2021-10-23,24,The Weeknd,Take My Breath,10,6,22
2021-10-23,25,Elton John & Dua Lipa,Cold Heart (PNAU Remix),6,25,32
2021-10-23,26,Lil Nas X,Thats What I Want,4,10,26
2021-10-23,27,Farruko,Pepas,12,25,25
2021-10-23,28,Elvie Shane,My Boy,16,28,42
2021-10-23,29,Moneybagg Yo,Wockesha,25,20,27
2021-10-23,30,Billie Eilish,Happier Than Ever,11,11,29
2021-10-23,31,CKay,Love Nwantiti (Ah Ah Ah),4,31,35
2021-10-23,32,Justin Bieber,Ghost,3,32,93
2021-10-23,33,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name,15,26,28
2021-10-23,34,Tai Verdes,A-O-K,15,34,34
2021-10-23,35,Lee Brice,Memory I Don't Mess With,12,33,33
2021-10-23,36,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations,7,22,23
2021-10-23,37,Old Dominion,I Was On A Boat That Day,15,37,45
2021-10-23,38,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,32,1,37
2021-10-23,39,Drake Featuring Travis Scott,Fair Trade,6,3,30
2021-10-23,40,Jordan Davis Featuring Luke Bryan,Buy Dirt,10,40,43
