Chart Week,Position,Artist,Title,Streams
2021-10-21,1,Adele,Easy On Me,20462767
2021-10-21,2,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),9047874
2021-10-21,3,The Kid LAROI,STAY (with Justin Bieber),8025757
2021-10-21,4,Drake,Knife Talk (with 21 Savage ft. Project Pat),7132482
2021-10-21,5,Glass Animals,Heat Waves,6805628
2021-10-21,6,Drake,Way 2 Sexy (with Future & Young Thug),6433211
2021-10-21,7,Doja Cat,Need to Know,5513620
2021-10-21,8,Young Thug,Bubbly (with Drake & Travis Scott),5300646
2021-10-21,9,Olivia Rodrigo,good 4 u,5240030
2021-10-21,10,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,5075087
2021-10-21,11,Doja Cat,Kiss Me More (feat. SZA),4707042
2021-10-21,12,Doja Cat,Woman,4530290
2021-10-21,13,BaKeem,family ties (with Kendrick Lamar),4509765
2021-10-21,14,Lil Nas X,THATS WHAT I WANT,4441012
2021-10-21,15,Ed Sheeran,Shivers,4256727
2021-10-21,16,Lil Nas X,MONTERO (Call Me By Your Name),4214963
2021-10-21,17,Drake,Fair Trade (with Travis Scott),4190090
2021-10-21,18,Ed Sheeran,Bad Habits,4104320
2021-10-21,19,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),3920645
2021-10-21,20,Billie Eilish,Happier Than Ever,3859922
2021-10-21,21,Sleepy Hallow,2055,3778335
2021-10-21,22,"Coldplay, BTS",My Universe,3722666
2021-10-21,23,Olivia Rodrigo,traitor,3533888
2021-10-21,24,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",3524808
2021-10-21,25,Walker Hayes,Fancy Like,3427506
2021-10-21,26,Dua Lipa,Levitating (feat. DaBaby),3380886
2021-10-21,27,"Eslabon Armado, DannyLux",Jugaste y Sufrí,3345331
2021-10-21,28,Farruko,Pepas,3335387
2021-10-21,29,Steve Lacy,Dark Red,3298670
2021-10-21,30,"Elton John, Dua Lipa",Cold Heart - PNAU Remix,3262114
2021-10-21,31,CKay,love nwantiti (ah ah ah),3248321
2021-10-21,32,Oliver Tree,Life Goes On,3190168
2021-10-21,33,The Neighbourhood,Sweater Weather,3187651
2021-10-21,34,Måneskin,Beggin',3175315
2021-10-21,35,Adele,When We Were Young,3150036
2021-10-21,36,Drake,Girls Want Girls (with Lil Baby),3141403
2021-10-21,37,Kanye West,Hurricane,3076588
2021-10-21,38,Doja Cat,Get Into It (Yuh),3065468
2021-10-21,39,Polo G,RAPSTAR,3015632
2021-10-21,40,"Coldplay, Selena Gomez",Let Somebody Go,2949729
2021-10-21,41,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2946726
2021-10-21,42,LISA,MONEY,2853901
2021-10-21,43,Young Thug,Livin It Up (with Post Malone & A$AP Rocky),2809407
2021-10-21,44,Ivan Cornejo,Está Dañada,2802755
2021-10-21,45,Adele,Someone Like You,2769224
2021-10-21,46,Doja Cat,Ain't Shit,2746059
2021-10-21,47,Kanye West,Praise God,2608639
2021-10-21,48,Drake,Wants and Needs (feat. Lil Baby),2607183
2021-10-21,49,J. Cole,No Role Modelz,2596681
2021-10-21,50,Olivia Rodrigo,deja vu,2588508
2021-10-21,51,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",2566848
2021-10-21,52,Surf Curse,Freaks,2538600
2021-10-21,53,Lil Durk,Pissed Me Off,2533505
2021-10-21,54,Adele,Rolling in the Deep,2506748
2021-10-21,55,The Weeknd,Blinding Lights,2497149
2021-10-21,56,Realestk,WFM,2471430
2021-10-21,57,"Gunna, Future",Too Easy,2463990
2021-10-21,58,"Doja Cat, The Weeknd",You Right,2438179
2021-10-21,59,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),2390051
2021-10-21,60,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),2388199
2021-10-21,61,Kanye West,Moon,2361682
2021-10-21,62,Olivia Rodrigo,drivers license,2344263
2021-10-21,63,Adele,Love In The Dark,2338030
2021-10-21,64,Tai Verdes,A-O-K,2331129
2021-10-21,65,Justin Bieber,Ghost,2313518
2021-10-21,66,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),2291799
2021-10-21,67,Don Toliver,Flocky Flocky (feat. Travis Scott),2234112
2021-10-21,68,Trippie Redd,Miss The Rage (feat. Playboi Carti),2225941
2021-10-21,69,Young Thug,Stressed (with J. Cole & T-Shyne),2220134
2021-10-21,70,Playboi Carti,Sky,2214463
2021-10-21,71,The Walters,I Love You So,2181134
2021-10-21,72,Yot Club,YKWIM?,2179668
2021-10-21,73,PinkPantheress,Pain,2167092
2021-10-21,74,Billie Eilish,Happier Than Ever - Edit,2150747
2021-10-21,75,Young Thug,Rich Nigga Shit (with Juice WRLD),2135405
2021-10-21,76,Adele,Set Fire to the Rain,2129133
2021-10-21,77,Mac Miller,Here We Go,2119384
2021-10-21,78,Chlöe,Have Mercy,2108844
2021-10-21,79,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2098696
2021-10-21,80,Bad Bunny,Yonaguni,2087635
2021-10-21,81,The Weeknd,Take My Breath,2079945
2021-10-21,82,Drake,Champagne Poetry,2077160
2021-10-21,83,"Cochise, $NOT",Tell Em,2070776
2021-10-21,84,Lil Uzi Vert,20 Min,2047871
2021-10-21,85,Machine Gun Kelly,my ex's best friend (with blackbear),2039165
2021-10-21,86,Adele,All I Ask,2037039
2021-10-21,87,Lil Tecca,LOT OF ME,2032177
2021-10-21,88,Skylar Grey,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",2031755
2021-10-21,89,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,2018755
2021-10-21,90,The Killers,Mr. Brightside,2009488
2021-10-21,91,Post Malone,Circles,2006734
2021-10-21,92,Marshmello,Leave Before You Love Me (with Jonas Brothers),1980091
2021-10-21,93,Polo G,Martin & Gina,1974442
2021-10-21,94,Trippie Redd,Rich MF (feat. Polo G & Lil Durk),1954621
2021-10-21,95,Olivia Rodrigo,favorite crime,1947456
2021-10-21,96,SZA,Good Days,1939923
2021-10-21,97,Giveon,Heartbreak Anniversary,1924821
2021-10-21,98,Juice WRLD,All Girls Are The Same,1923367
2021-10-21,99,Adele,Chasing Pavements,1913760
2021-10-21,100,Drake,No Friends In The Industry,1911617
2021-10-21,101,Mac Miller,The Spins,1909011
2021-10-21,102,Megan Thee Stallion,Thot Shit,1903361
2021-10-21,103,J. Cole,She Knows (feat. Amber Coffman & Cults),1898297
2021-10-21,104,"Jordan Davis, Luke Bryan",Buy Dirt,1894475
2021-10-21,105,"Joyner Lucas, J. Cole",Your Heart,1883790
2021-10-21,106,girl in red,we fell in love in october,1883571
2021-10-21,107,Beach House,Space Song,1873514
2021-10-21,108,Harry Styles,Watermelon Sugar,1856965
2021-10-21,109,24kGoldn,Mood (feat. iann dior),1852533
2021-10-21,110,Fleetwood Mac,Dreams - 2004 Remaster,1848883
2021-10-21,111,The Neighbourhood,Daddy Issues,1843018
2021-10-21,112,"Ryan Hurd, Maren Morris",Chasing After You,1841962
2021-10-21,113,My Chemical Romance,Teenagers,1833494
2021-10-21,114,Juice WRLD,Lucid Dreams,1818702
2021-10-21,115,Adele,Send My Love (To Your New Lover),1815851
2021-10-21,116,Arctic Monkeys,505,1808168
2021-10-21,117,Kanye West,Off The Grid,1803876
2021-10-21,118,Kali Uchis,telepatía,1803280
2021-10-21,119,Billie Eilish,Bored,1799196
2021-10-21,120,MKTO,Classic,1788300
2021-10-21,121,Juice WRLD,Come & Go (with Marshmello),1787254
2021-10-21,122,Joji,SLOW DANCING IN THE DARK,1786462
2021-10-21,123,"Bad Bunny, Jhay Cortez",DÁKITI,1782883
2021-10-21,124,Siouxxie,masquerade,1758238
2021-10-21,125,"Tech N9ne, Joey Cool, King Iso, Dwayne Johnson",Face Off,1751465
2021-10-21,126,WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,1749181
2021-10-21,127,BØRNS,Electric Love,1743113
2021-10-21,128,Taylor Swift,Wildest Dreams (Taylor's Version),1737512
2021-10-21,129,WILLOW,Wait a Minute!,1735100
2021-10-21,130,Lil Uzi Vert,XO Tour Llif3,1723790
2021-10-21,131,"Aventura, Bad Bunny",Volví,1721334
2021-10-21,132,Olivia Rodrigo,happier,1720493
2021-10-21,133,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,1719489
2021-10-21,134,The Weeknd,Die For You,1718189
2021-10-21,135,bbno$,edamame (feat. Rich Brian),1713597
2021-10-21,136,Olivia Rodrigo,"jealousy, jealousy",1712400
2021-10-21,137,Olivia Rodrigo,brutal,1706963
2021-10-21,138,J. Cole,Work Out,1706368
2021-10-21,139,Conan Gray,Heather,1701544
2021-10-21,140,Doja Cat,Streets,1701129
2021-10-21,141,Travis Scott,goosebumps,1689018
2021-10-21,142,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",1680818
2021-10-21,143,XXXTENTACION,Jocelyn Flores,1680556
2021-10-21,144,Juice WRLD,Wishing Well,1672232
2021-10-21,145,A-Wall,Loverboy,1668606
2021-10-21,146,Nirvana,Smells Like Teen Spirit,1659451
2021-10-21,147,Adele,Make You Feel My Love,1650495
2021-10-21,148,Joy Again,Looking Out for You,1649831
2021-10-21,149,"Kendrick Lamar, Jay Rock",Money Trees,1646851
2021-10-21,150,DaBaby,Lonely (with Lil Wayne),1642453
2021-10-21,151,Rauw Alejandro,Todo De Ti,1630786
2021-10-21,152,"Blxst, Tyga",Chosen (feat. Ty Dolla $ign),1627804
2021-10-21,153,"ScHoolboy Q, Kendrick Lamar",Collard Greens,1613548
2021-10-21,154,Young Thug,Day Before (with Mac Miller),1608734
2021-10-21,155,Masked Wolf,Astronaut In The Ocean,1602749
2021-10-21,156,Lewis Capaldi,Someone You Loved,1598735
2021-10-21,157,Kygo,Undeniable (feat. X Ambassadors),1598335
2021-10-21,158,"Tyler, The Creator",See You Again (feat. Kali Uchis),1594056
2021-10-21,159,Juice WRLD,Robbery,1591380
